,recovery,temperature,code1,code2,share1,share2
0,5,39.80236965739257,AHS,AWB,0.5,0.5
1,10,67.32333333765357,AHS,AWB,0.5,0.5
2,20,178.9858044990877,AHS,AWB,0.5,0.5
3,30,334.9405443099855,AHS,AWB,0.5,0.5
4,40,419.25523952201667,AHS,AWB,0.5,0.5
5,50,482.0266842234825,AHS,AWB,0.5,0.5
6,60,539.391771991214,AHS,AWB,0.5,0.5
7,70,601.4954431678312,AHS,AWB,0.5,0.5
8,80,716.8676994799462,AHS,AWB,0.5,0.5
9,90,,AHS,AWB,0.5,0.5
10,95,,AHS,AWB,0.5,0.5
11,99,,AHS,AWB,0.5,0.5
0,5,54.45560203799629,AHS,BCL,0.5,0.5
1,10,95.5686049157239,AHS,BCL,0.5,0.5
2,20,158.21892642515803,AHS,BCL,0.5,0.5
3,30,224.99710428755017,AHS,BCL,0.5,0.5
4,40,305.69412238510375,AHS,BCL,0.5,0.5
5,50,379.3918358979611,AHS,BCL,0.5,0.5
6,60,452.0276034667419,AHS,BCL,0.5,0.5
7,70,515.0210519169821,AHS,BCL,0.5,0.5
8,80,583.4203300877024,AHS,BCL,0.5,0.5
9,90,679.202519071891,AHS,BCL,0.5,0.5
10,95,,AHS,BCL,0.5,0.5
11,99,,AHS,BCL,0.5,0.5
0,5,59.19379566243186,AHS,BDY,0.5,0.5
1,10,99.81247156870444,AHS,BDY,0.5,0.5
2,20,167.41767195896185,AHS,BDY,0.5,0.5
3,30,245.24646413040784,AHS,BDY,0.5,0.5
4,40,323.0575240632933,AHS,BDY,0.5,0.5
5,50,396.82301499568473,AHS,BDY,0.5,0.5
6,60,460.25113841239903,AHS,BDY,0.5,0.5
7,70,517.5961129406828,AHS,BDY,0.5,0.5
8,80,579.7387688826273,AHS,BDY,0.5,0.5
9,90,661.4957171522642,AHS,BDY,0.5,0.5
10,95,,AHS,BDY,0.5,0.5
11,99,,AHS,BDY,0.5,0.5
0,5,54.40876558909264,AHS,BHB,0.5,0.5
