,recovery,temperature,code1,code2,share1,share2
0,5,36.975435404223184,AHS,AWB,0.01,0.99
1,10,56.291056753545504,AHS,AWB,0.01,0.99
2,20,178.019587743876,AHS,AWB,0.01,0.99
3,30,317.2139206548023,AHS,AWB,0.01,0.99
4,40,394.896997737648,AHS,AWB,0.01,0.99
5,50,463.47547875245095,AHS,AWB,0.01,0.99
6,60,541.1492656469187,AHS,AWB,0.01,0.99
7,70,670.4649872704705,AHS,AWB,0.01,0.99
8,80,,AHS,AWB,0.01,0.99
9,90,,AHS,AWB,0.01,0.99
10,95,,AHS,AWB,0.01,0.99
11,99,,AHS,AWB,0.01,0.99
0,5,37.00964472087085,AHS,AWB,0.02,0.98
1,10,56.479463358186074,AHS,AWB,0.02,0.98
2,20,178.03917499228905,AHS,AWB,0.02,0.98
3,30,317.5292613743802,AHS,AWB,0.02,0.98
4,40,395.3939063317396,AHS,AWB,0.02,0.98
5,50,463.9472501668157,AHS,AWB,0.02,0.98
6,60,541.0993733527386,AHS,AWB,0.02,0.98
7,70,628.6066103864504,AHS,AWB,0.02,0.98
8,80,,AHS,AWB,0.02,0.98
9,90,,AHS,AWB,0.02,0.98
10,95,,AHS,AWB,0.02,0.98
11,99,,AHS,AWB,0.02,0.98
0,5,37.04851710603772,AHS,AWB,0.03,0.97
1,10,56.66778330160584,AHS,AWB,0.03,0.97
2,20,178.0587621821442,AHS,AWB,0.03,0.97
3,30,317.8459649171751,AHS,AWB,0.03,0.97
4,40,395.89089736278476,AHS,AWB,0.03,0.97
5,50,464.4148888728551,AHS,AWB,0.03,0.97
6,60,541.0502905142516,AHS,AWB,0.03,0.97
7,70,628.0410034943347,AHS,AWB,0.03,0.97
8,80,,AHS,AWB,0.03,0.97
9,90,,AHS,AWB,0.03,0.97
10,95,,AHS,AWB,0.03,0.97
11,99,,AHS,AWB,0.03,0.97
0,5,37.092776137481074,AHS,AWB,0.04,0.96
1,10,56.85700584974621,AHS,AWB,0.04,0.96
2,20,178.07834974378775,AHS,AWB,0.04,0.96
3,30,318.1638056518413,AHS,AWB,0.04,0.96
4,40,396.3878400525452,AHS,AWB,0.04,0.96
5,50,464.87848886029286,AHS,AWB,0.04,0.96
6,60,541.001997417846,AHS,AWB,0.04,0.96
7,70,627.2806917455584,AHS,AWB,0.04,0.96
8,80,,AHS,AWB,0.04,0.96
9,90,,AHS,AWB,0.04,0.96
10,95,,AHS,AWB,0.04,0.96
11,99,,AHS,AWB,0.04,0.96
0,5,37.14174590521219,AHS,AWB,0.05,0.95
1,10,57.04803845910456,AHS,AWB,0.05,0.95
2,20,178.0979381009946,AHS,AWB,0.05,0.95
3,30,318.48289343122127,AHS,AWB,0.05,0.95
4,40,396.8847651381151,AHS,AWB,0.05,0.95
5,50,465.3380293150827,AHS,AWB,0.05,0.95
6,60,540.9544745924761,AHS,AWB,0.05,0.95
7,70,626.5281337303383,AHS,AWB,0.05,0.95
8,80,,AHS,AWB,0.05,0.95
9,90,,AHS,AWB,0.05,0.95
10,95,,AHS,AWB,0.05,0.95
11,99,,AHS,AWB,0.05,0.95
0,5,37.19477967666307,AHS,AWB,0.06,0.94
1,10,57.24041123159993,AHS,AWB,0.06,0.94
2,20,178.11752767095444,AHS,AWB,0.06,0.94
3,30,318.8033207866359,AHS,AWB,0.06,0.94
4,40,397.3816978529203,AHS,AWB,0.06,0.94
5,50,465.79348817777196,AHS,AWB,0.06,0.94
6,60,540.9077031522751,AHS,AWB,0.06,0.94
7,70,625.7862324295397,AHS,AWB,0.06,0.94
8,80,,AHS,AWB,0.06,0.94
9,90,,AHS,AWB,0.06,0.94
10,95,,AHS,AWB,0.06,0.94
11,99,,AHS,AWB,0.06,0.94
0,5,37.25125929267997,AHS,AWB,0.07,0.93
1,10,57.43377308467737,AHS,AWB,0.07,0.93
2,20,178.13711886425818,AHS,AWB,0.07,0.93
3,30,319.12514953829304,AHS,AWB,0.07,0.93
4,40,397.87862731967067,AHS,AWB,0.07,0.93
5,50,466.2448533272278,AHS,AWB,0.07,0.93
6,60,540.861665275697,AHS,AWB,0.07,0.93
7,70,625.0548532001491,AHS,AWB,0.07,0.93
8,80,,AHS,AWB,0.07,0.93
9,90,,AHS,AWB,0.07,0.93
10,95,,AHS,AWB,0.07,0.93
11,99,,AHS,AWB,0.07,0.93
0,5,37.31059458035865,AHS,AWB,0.08,0.92
1,10,57.628169743105374,AHS,AWB,0.08,0.92
2,20,178.15671208488484,AHS,AWB,0.08,0.92
3,30,319.44839154151896,AHS,AWB,0.08,0.92
4,40,398.37557440145974,AHS,AWB,0.08,0.92
5,50,466.6921103331325,AHS,AWB,0.08,0.92
6,60,540.8163437005239,AHS,AWB,0.08,0.92
7,70,624.3338550210564,AHS,AWB,0.08,0.92
8,80,,AHS,AWB,0.08,0.92
9,90,,AHS,AWB,0.08,0.92
10,95,,AHS,AWB,0.08,0.92
11,99,,AHS,AWB,0.08,0.92
0,5,37.37222278241887,AHS,AWB,0.09,0.91
1,10,57.82364577646664,AHS,AWB,0.09,0.91
2,20,178.17630773018783,AHS,AWB,0.09,0.91
3,30,319.773098968029,AHS,AWB,0.09,0.91
4,40,398.87252705401215,AHS,AWB,0.09,0.91
5,50,467.1352570369631,AHS,AWB,0.09,0.91
6,60,540.771721701585,AHS,AWB,0.09,0.91
7,70,623.6230940587095,AHS,AWB,0.09,0.91
8,80,,AHS,AWB,0.09,0.91
9,90,,AHS,AWB,0.09,0.91
10,95,,AHS,AWB,0.09,0.91
11,99,,AHS,AWB,0.09,0.91
0,5,37.435608002827024,AHS,AWB,0.1,0.9
1,10,58.02024465008216,AHS,AWB,0.1,0.9
2,20,178.19590619088132,AHS,AWB,0.1,0.9
3,30,320.0993361296427,AHS,AWB,0.1,0.9
4,40,399.36950551669054,AHS,AWB,0.1,0.9
5,50,467.5742868293258,AHS,AWB,0.1,0.9
6,60,540.7277830702055,AHS,AWB,0.1,0.9
7,70,622.9224249444113,AHS,AWB,0.1,0.9
8,80,,AHS,AWB,0.1,0.9
9,90,,AHS,AWB,0.1,0.9
10,95,,AHS,AWB,0.1,0.9
11,99,,AHS,AWB,0.1,0.9
0,5,37.500240668386766,AHS,AWB,0.11,0.89
1,10,58.21801284184916,AHS,AWB,0.11,0.89
2,20,178.21550785102707,AHS,AWB,0.11,0.89
