Code,Description
AHS,Albian Heavy Synthetic (AHS)
AWB,Access Western Blend (AWB)
BCL,BC Light (BCL)
BDY,Boundary Lake (BDY)
BHB,Borealis Heavy Blend (BHB)
BRN,Bow River North (BRN)
BRS,Bow River South (BRS)
CAL,Koch Alberta (CAL)
CDB,Christina Dilbit Blend (CDB)
CFT,Fort Saskatchewan Condensate (CFT)
CHN,Cochin Condensate (CHN)
CHV,Conventional Heavy (CHV)
CL,Cold Lake (CL)
CNS,CNRL Light Sweet Synthetic (CNS)
CNX,Canadian Natural High TAN (CNX)
CPM,Pembina Condensate (CPM)
CPR,Peace Condensate (CPR)
CRL,Rangeland Condensate (CRL)
CRW,Condensate Blend (CRW)
F,Fosterton (F)
FD,Federated (FD)
FRB,Fort Hills Dilbit (FRB)
HSB,Husky Synthetic Blend (HSB)
HSC,Hardisty Synthetic Crude (HSC)
KDB,Kearl Lake (KDB)
LCB,Leismer Corner Blend (LCB)
LLB,Lloyd Blend (LLB)
LLK,Lloyd Kerrobert (LLK)
LSB,Light Sour Blend (LSB)
MBL,Hardisty Light (MBL)
MGS,Medium Gibson Sour (MGS)
MJT,Moose Jaw Tops (MJT)
MPR,Peace (MPR)
MSB,Medium Sour Blend (MSB)
MSE,Secure Sask Light (MSE)
MSM,Midale (MSM)
MSW,Mixed Sweet Blend (MSW)
MSW(S),Mixed Sweet Blend (Superior) (MSW(S))
MSY,Light Smiley (MSY)
OSA,Suncor Synthetic A (OSA)
OSH,Suncor Synthetic H (OSH)
P,Pembina (P)
PAS,Premium Albian Synthetic (PAS)
PCH,Premium Conventional Heavy (PCH)
PLS,Pembina Light Sour (PLS)
PSC,Long Lake Light Synthetic (PSC)
PSH,Long Lake Heavy (PSH)
PSY,Premium Synthetic (PSY)
PXB,PetroChina Blend (PXB)
RA,Rainbow (RA)
SC,Smiley-Coleville (SC)
SCS,Statoil Cheecham Synbit (SCS)
SH,Seal Heavy (SH)
SHB,Surmont Heavy Blend (SHB)
SHD,Surmont Heavy Dilbit (SHD)
SLD,Southern Lights Diluent (SLD)
SMA,Surmont Mix A (SMA)
SPR,Peace Pipe Sour (SPR)
SSP,Syncrude Sweet Premium (SSP)
SSX,Shell Synthetic Light (SSX)
SYB,Synbit Blend (SYB)
SYN,Synthetic Sweet Blend (SYN)
WCB,Western Canadian Blend (WCB)
WCS,Western Canadian Select (WCS)
WDB,Western Canada Dilbit (WDB)
WH,Wabasca Heavy (WH)
