,Mass % Recovered,Temperature( oC ),Temperature( oF ),Average( oC ),Standard Deviation( oC ),Average( oF ),Standard Deviation( oF ),Code
0,IBP,34.7,94.5,34.4,3.1,93.9,5.6,AHS
1,5,43.2,109.8,54.2,17.1,129.6,30.8,AHS
2,10,83.2,181.8,105.3,24.8,221.5,44.6,AHS
3,20,180.0,356.0,257.5,41.7,495.5,75.1,AHS
4,30,362.5,684.5,383.9,17.6,723.0,31.7,AHS
5,40,443.5,830.3,442.3,15.2,828.2,27.4,AHS
6,50,494.0,921.2,489.1,16.8,912.3,30.2,AHS
7,60,538.4,1001.1,535.3,18.7,995.5,33.7,AHS
8,70,585.6,1086.1,588.4,20.4,1091.1,36.7,AHS
9,80,640.8,1185.4,657.1,26.3,1214.8,47.3,AHS
10,90,715.5,1319.9,703.0,15.2,1297.4,27.4,AHS
11,95,-,-,-,-,-,-,AHS
12,99,-,-,-,-,-,-,AHS
0,IBP,34.8,94.6,34.5,1.6,94.1,2.9,AWB
1,5,36.9,98.4,42.4,7.3,108.2,13.1,AWB
2,10,56.1,133.0,75.8,16.6,168.5,29.9,AWB
3,20,178.0,352.4,220.0,40.1,428.1,72.2,AWB
4,30,316.9,602.4,337.7,19.4,639.9,34.9,AWB
5,40,394.4,741.9,412.4,17.4,774.3,31.3,AWB
6,50,463.0,865.4,481.7,19.8,899.1,35.6,AWB
7,60,541.2,1006.2,561.6,23.3,1042.9,41.9,AWB
8,70,630.4,1166.7,643.2,21.4,1189.7,38.5,AWB
9,80,-,-,707.3,11.4,1305.2,20.5,AWB
10,90,-,-,-,-,-,-,AWB
11,95,-,-,-,-,-,-,AWB
12,99,-,-,-,-,-,-,AWB
0,IBP,35.3,95.5,34.7,1.2,94.4,2.2,BCL
1,5,68.8,155.8,72.0,8.0,161.5,14.4,BCL
2,10,104.8,220.6,100.1,6.5,212.2,11.7,BCL
3,20,150.4,302.7,142.0,8.7,287.5,15.7,BCL
4,30,192.4,378.3,187.4,10.3,369.3,18.5,BCL
5,40,237.9,460.2,236.2,8.9,457.2,16.0,BCL
6,50,287.9,550.2,283.9,9.4,543.0,16.9,BCL
7,60,338.0,640.4,332.4,9.5,630.3,17.1,BCL
8,70,388.3,730.9,388.0,11.6,730.3,20.9,BCL
9,80,464.8,868.6,453.2,15.0,847.7,27.0,BCL
10,90,575.0,1067.0,550.3,26.9,1022.5,48.4,BCL
11,95,719.7,1327.5,623.8,38.7,1154.9,69.7,BCL
12,99,-,-,-,-,-,-,BCL
0,IBP,35.6,96.1,34.4,1.0,93.8,1.8,BDY
1,5,80.6,177.1,77.3,6.0,171.2,10.8,BDY
2,10,110.5,230.9,106.2,5.8,223.2,10.4,BDY
3,20,162.1,323.8,157.2,7.7,315.0,13.9,BDY
4,30,215.5,419.9,210.5,8.1,410.9,14.6,BDY
5,40,262.5,504.5,260.0,7.4,500.1,13.3,BDY
6,50,310.1,590.2,310.1,7.8,590.1,14.0,BDY
7,60,360.5,680.9,363.7,10.1,686.6,18.2,BDY
8,70,417.3,783.1,424.1,11.3,795.3,20.3,BDY
9,80,480.5,896.9,494.4,15.2,922.0,27.4,BDY
10,90,567.0,1052.6,602.5,30.1,1116.5,54.2,BDY
11,95,629.5,1165.1,666.0,33.7,1230.8,60.7,BDY
12,99,708.1,1306.6,-,-,-,-,BDY
0,IBP,35.7,96.3,34.5,1.1,94.2,2.0,BHB
1,5,69.8,157.6,48.2,12.6,118.8,22.7,BHB
2,10,116.5,241.7,85.9,22.0,186.7,39.6,BHB
